MANUFACTURE_YEAR,ACQUISITION_DATE,TAIL_NUM,AIRLINE_ID,IS_OPERATING,NUMBER_OF_SEATS
1944,7/31/1998,N54514,20408,Y,0
1945,6/1/2012,N1651M,20408,N,0
1953,6/23/2010,N100CE,20408,Y,0
1953,12/1/2015,N451CE,20408,Y,0
1953,1/14/2005,N141FL,20166,Y,0
1953,4/1/2002,N151FL,20166,Y,0
1953,3/31/2005,N381FL,20166,Y,0
1954,3/30/2010,N6174C,20408,Y,0
1954,9/1/2010,N400UA,20408,N,0
1955,8/30/2012,N747CE,20408,Y,2
1955,1/1/1999,N9148F,20408,N,0
1955,5/1/2003,N131FL,20166,Y,0
1955,1/17/2013,N351FL,20166,Y,0
1955,4/12/2005,N391FL,20166,Y,0
1956,2/6/2005,N171FL,20166,Y,0
1956,2/6/2005,N181FL,20166,Y,0
1956,1/3/2005,N191FL,20166,Y,0
1956,2/16/2007,N361FL,20166,Y,0
1956,1/3/2005,N371FL,20166,Y,0
1957,8/31/2000,N551CE,20408,N,0
1957,12/29/1995,N555SQ,20408,N,0
1957,7/1/2013,N751CE,20408,N,0
1958,9/30/1997,N151,20408,Y,0
1958,9/12/2003,N9056R,20408,Y,0
1958,7/1/2013,N851CE,20408,N,0
1958,12/1/2007,N991FL,20166,Y,0
1966,8/16/2002,N783TW,20201,Y,0
1967,6/30/2009,N904CE,20408,N,0
1967,8/16/2002,N784TW,20201,Y,0
1967,8/16/2002,N785TW,20201,Y,0
1967,1/12/2015,N782TW,20201,Y,0
1967,12/1/2009,N915CK,20372,Y,0
1967,5/9/2014,N917CK,20372,Y,0
1967,4/1/1998,N192US,20447,Y,0
1967,10/1/1994,N195US,20447,Y,0
1967,12/1/1994,N196US,20447,Y,0
1968,10/17/2012,N916CK,20372,Y,0
1968,7/1/1993,N811AA,20447,Y,0
1968,6/1/2000,N208US,20447,Y,0
1969,6/30/2009,N930CE,20408,Y,0
1969,8/31/2010,N935CE,20408,Y,0
1969,3/1/1993,N822AA,20447,Y,0
1969,6/1/2000,N327US,20447,Y,0
1970,6/30/2009,N932CE,20408,Y,0
1971,11/6/1997,N365FE*,20107,Y,0
1971,8/21/1997,N368FE*,20107,Y,0
1971,12/1/2009,N724CK,20372,Y,0
1972,8/21/1997,N375FE*,20107,Y,0
1972,3/1/1999,N381FE*,20107,Y,0
1972,12/13/1989,N550FE*,20107,Y,0
1972,12/1/2017,ZS-RSC,20169,Y,0
1973,3/1/1999,N383FE*,20107,Y,0
1973,12/13/1989,N559FE*,20107,Y,0
1973,2/29/1984,N303FE*,20107,Y,0
1974,8/21/1997,N389FE*,20107,Y,0
1974,8/21/1997,N390FE*,20107,Y,0
1974,12/13/1989,N560FE*,20107,Y,0
1974,4/14/1983,N68053*,20107,Y,0
1974,12/1/2017,N902SJ,20169,Y,0
1974,12/1/2017,ZS-RSF,20169,Y,0
1974,3/1/1995,N827AA,20447,Y,0
1975,1/10/2015,N810TA,21577,Y,0
1975,11/8/1999,N394FE*,20107,Y,0
1975,1/21/1999,N396FE*,20107,Y,0
1975,6/30/1992,N357FE*,20107,Y,0
1975,6/28/2017,N311FE*,20107,Y,0
1975,6/1/1997,N401LC,20169,Y,0
1975,,N403LC,20169,Y,0
1975,12/21/2015,N408LC,20169,Y,0
1976,5/16/1997,N148RF,20408,Y,5
1976,6/16/1997,N402LC,20169,Y,0
1976,1/15/2005,N406LC,20169,Y,0
1976,12/1/2017,N409LC,20169,N,0
1976,12/1/2017,N410LC,20169,Y,0
1976,1/1/2000,N205US,20447,Y,0
1977,12/13/1989,N562FE*,20107,Y,0
1977,12/1/2009,N720CK,20372,Y,0
1977,4/13/1999,N404LC,20169,N,0
1978,5/4/1985,N304FE*,20107,Y,0
1978,2/10/2015,N281FL,20166,Y,0
1978,12/1/2017,ZS-OPS,20169,Y,0
1979,10/2/2001,N358FE*,20107,Y,0
1979,12/13/1989,N566FE*,20107,Y,0
1979,10/15/1994,N10060*,20107,Y,0
1979,7/11/1994,N318FE*,20107,Y,0
1980,10/2/2001,N359FE*,20107,Y,0
1980,6/23/1992,N360FE*,20107,Y,0
1980,12/13/1989,N571FE*,20107,Y,0
1980,2/20/1992,N320FE*,20107,Y,0
1980,6/30/1992,N321FE*,20107,Y,0
1980,9/30/1994,N319FE*,20107,Y,0
1980,12/21/2009,N725CK,20372,Y,0
1980,12/1/2010,N726CK,20372,Y,0
1981,6/23/1992,N363FE*,20107,Y,0
1981,1/9/2004,N705AA,20177,Y,0
1981,1/7/2015,N727US,20447,Y,0
1981,8/13/2018,N726US,20447,Y,0
1982,4/22/2017,N739AX,19874,Y,0
1982,5/1/2013,N729CK,20372,Y,0
1982,7/1/2010,N743AX,20151,Y,0
1982,4/13/1984,N2340U,19998,N,6
1983,12/1/2012,N306AL,21577,Y,0
1983,7/28/2011,N818EC,21652,Y,16
1983,2/15/2009,N762CX,19874,Y,0
1983,8/2/2010,N763CX,19874,Y,0
1983,5/13/2016,N714AX,19874,Y,0
1983,1/10/2006,N740AX,20453,Y,0
1983,2/21/2006,N744AX,20453,Y,0
1983,11/8/2006,N747AX,20453,Y,0
1983,8/11/1997,N767AX,20453,Y,0
1983,11/1/1997,N768AX,20453,Y,0
1983,3/24/1998,N769AX,20453,Y,0
1983,8/12/1998,N774AX,20453,Y,0
1983,11/27/1998,N775AX,20453,Y,0
1983,2/24/2009,N935FD*,20107,Y,0
1984,3/31/2018,N605KW,21492,Y,236
1984,2/24/2009,N605DL,19874,Y,0
1984,8/12/2016,N255CM,19874,Y,0
1984,3/12/1999,N783AX,20453,Y,0
1984,6/5/2012,N215WE,20166,Y,0
1984,2/6/2012,N216WE,20166,Y,0
1984,6/5/2006,N320DL,20108,Y,0
1984,6/5/2006,N321DL,20108,Y,0
1984,6/5/2006,N322DL,20108,Y,0
1985,3/31/2018,N602KW,21492,Y,218
1985,3/31/2018,N603KW,21492,Y,218
