"AIRLINE_ID","QUARTER","MONTH","DAY","ORIGIN_AIRPORT_ID","DESTINATION_AIRPORT_ID","DEPARTURE_TIME","DELAY","IS_DELAY_15","MANUFACTURE_YEAR","ACQUISITION_DATE","IS_OPERATING","NUMBER_OF_SEATS","FULLTIME_EMPLOYEES","CARRIER_GROUP"
19393,1,3,10,10721,13232,15,18,1,2012,"4/19/2012","Y",175,56725,3
19393,1,3,12,10721,10821,5,0,0,2007,"5/24/2007","Y",143,56725,3
19393,2,5,26,10721,15016,6,0,0,2006,"8/30/2012","Y",143,56725,3
19393,2,4,23,10721,11259,15,11,0,2016,"2/12/2016","Y",175,56725,3
19393,1,2,9,10721,10423,13,11,0,2012,"4/19/2012","Y",175,56725,3
19393,2,5,23,10721,10397,11,6,0,2003,"5/2/2003","Y",143,56725,3
19393,2,5,29,10721,10821,19,0,0,2008,"12/23/2008","Y",143,56725,3
19393,2,5,6,10721,12339,6,0,0,2006,"6/21/2006","Y",143,56725,3
19393,2,4,29,10721,13232,16,0,0,2007,"11/29/2007","Y",143,56725,3
19393,2,5,20,10721,10821,11,0,0,2006,"9/27/2006","Y",143,56725,3
19393,1,2,16,10721,10821,14,68,1,2004,"3/29/2004","Y",143,56725,3
19393,2,5,2,10721,13232,7,0,0,2016,"10/27/2016","Y",175,56725,3
19393,2,4,16,10721,13232,5,0,0,2012,"4/16/2012","Y",175,56725,3
19393,1,2,13,10721,15016,18,0,0,2017,"6/1/2017","Y",175,56725,3
19393,2,5,11,10721,13232,16,71,1,2005,"8/1/2005","Y",143,56725,3
19393,2,5,26,10721,11292,16,3,0,2005,"8/1/2005","Y",143,56725,3
19393,2,4,5,10721,10821,13,0,0,1999,"2/25/1999","Y",143,56725,3
19393,2,5,4,10721,12339,9,17,1,1999,"2/25/1999","Y",143,56725,3
19393,2,4,21,10721,12191,17,47,1,2006,"8/30/2012","Y",143,56725,3
19393,2,4,22,10721,10397,18,40,1,2006,"11/22/2006","Y",143,56725,3
19393,1,3,20,10721,13342,14,0,0,2006,"8/30/2012","Y",143,56725,3
19393,1,2,16,10721,10821,6,0,0,2004,"3/29/2004","Y",143,56725,3
19393,1,1,27,10721,10821,8,0,0,2001,"2/1/2002","Y",143,56725,3
19393,2,5,30,10721,11292,14,3,0,2012,"4/30/2012","Y",175,56725,3
