"Year","Quarter","Month","DayofMonth","DayOfWeek","FlightDate","Reporting_Airline","DOT_ID_Reporting_Airline","IATA_CODE_Reporting_Airline","Tail_Number","Flight_Number_Reporting_Airline","OriginAirportID","OriginAirportSeqID","OriginCityMarketID","Origin","OriginCityName","OriginState","OriginStateFips","OriginStateName","OriginWac","DestAirportID","DestAirportSeqID","DestCityMarketID","Dest","DestCityName","DestState","DestStateFips","DestStateName","DestWac","CRSDepTime","DepTime","DepDelay","DepDelayMinutes","DepDel15","DepartureDelayGroups","DepTimeBlk","TaxiOut","WheelsOff","WheelsOn","TaxiIn","CRSArrTime","ArrTime","ArrDelay","ArrDelayMinutes","ArrDel15","ArrivalDelayGroups","ArrTimeBlk","Cancelled","Diverted","CRSElapsedTime","ActualElapsedTime","AirTime","Flights","Distance","DistanceGroup","CarrierDelay","WeatherDelay","NASDelay","SecurityDelay","LateAircraftDelay","FirstDepTime","TotalAddGTime","LongestAddGTime","DivAirportLandings","DivReachedDest","DivActualElapsedTime","DivArrDelay","DivDistance","Div1Airport","Div1AirportID","Div1AirportSeqID","Div1WheelsOn","Div1TotalGTime","Div1LongestGTime","Div1WheelsOff","Div1TailNum","Div2Airport","Div2AirportID","Div2AirportSeqID","Div2WheelsOn","Div2TotalGTime","Div2LongestGTime","Div2WheelsOff","Div2TailNum","Div3Airport","Div3AirportID","Div3AirportSeqID","Div3WheelsOn","Div3TotalGTime","Div3LongestGTime","Div3WheelsOff","Div3TailNum","Div4Airport","Div4AirportID","Div4AirportSeqID","Div4WheelsOn","Div4TotalGTime","Div4LongestGTime","Div4WheelsOff","Div4TailNum","Div5Airport","Div5AirportID","Div5AirportSeqID","Div5WheelsOn","Div5TotalGTime","Div5LongestGTime","Div5WheelsOff","Div5TailNum","X"
2018,1,1,26,5,"2018-01-26","UA",19977,"UA","N61886",203,10721,1072102,30721,"BOS","Boston, MA","MA",25,"Massachusetts",13,13930,1393006,30977,"ORD","Chicago, IL","IL",17,"Illinois",41,550,619,29,29,1,1,"0001-0559",19,638,753,10,745,803,18,18,1,1,"0700-0759",0,0,175,164,135,1,867,4,18,0,0,0,0,NA,NA,NA,0,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,"","",NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018,1,1,25,4,"2018-01-25","UA",19977,"UA","N79402",1233,10721,1072102,30721,"BOS","Boston, MA","MA",25,"Massachusetts",13,12266,1226603,31453,"IAH","Houston, TX","TX",48,"Texas",74,1314,1334,20,20,1,1,"1300-1359",12,1346,1641,10,1650,1651,1,1,0,0,"1600-1659",0,0,276,257,235,1,1597,7,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,"","",NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018,1,1,25,4,"2018-01-25","UA",19977,"UA","N33203",599,10721,1072102,30721,"BOS","Boston, MA","MA",25,"Massachusetts",13,13930,1393006,30977,"ORD","Chicago, IL","IL",17,"Illinois",41,1635,1653,18,18,1,1,"1600-1659",16,1709,1818,8,1832,1826,-6,0,0,-1,"1800-1859",0,0,177,153,129,1,867,4,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,"","",NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018,1,1,24,3,"2018-01-24","UA",19977,"UA","N568UA",2400,10721,1072102,30721,"BOS","Boston, MA","MA",25,"Massachusetts",13,14771,1477104,32457,"SFO","San Francisco, CA","CA",6,"California",91,1800,1927,87,87,1,5,"1800-1859",31,1958,2310,5,2151,2315,84,84,1,5,"2100-2159",0,0,411,408,372,1,2704,11,0,0,84,0,0,NA,NA,NA,0,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,"","",NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018,1,1,24,3,"2018-01-24","UA",19977,"UA","N27239",717,10721,1072102,30721,"BOS","Boston, MA","MA",25,"Massachusetts",13,12892,1289208,32575,"LAX","Los Angeles, CA","CA",6,"California",91,1752,1830,38,38,1,2,"1700-1759",16,1846,2127,6,2139,2133,-6,0,0,-1,"2100-2159",0,0,407,363,341,1,2611,11,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,"","",NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018,1,1,23,2,"2018-01-23","UA",19977,"UA","N596UA",2400,10721,1072102,30721,"BOS","Boston, MA","MA",25,"Massachusetts",13,14771,1477104,32457,"SFO","San Francisco, CA","CA",6,"California",91,1800,1818,18,18,1,1,"1800-1859",23,1841,2140,5,2151,2145,-6,0,0,-1,"2100-2159",0,0,411,387,359,1,2704,11,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,"","",NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018,1,1,23,2,"2018-01-23","UA",19977,"UA","N68891",1946,10721,1072102,30721,"BOS","Boston, MA","MA",25,"Massachusetts",13,11618,1161802,31703,"EWR","Newark, NJ","NJ",34,"New Jersey",21,1155,1235,40,40,1,2,"1100-1159",59,1334,1433,5,1330,1438,68,68,1,4,"1300-1359",0,0,95,123,59,1,200,1,0,0,42,0,26,NA,NA,NA,0,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,"","",NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018,1,1,23,2,"2018-01-23","UA",19977,"UA","N69816",1564,10721,1072102,30721,"BOS","Boston, MA","MA",25,"Massachusetts",13,13930,1393006,30977,"ORD","Chicago, IL","IL",17,"Illinois",41,1144,1210,26,26,1,1,"1100-1159",17,1227,1333,7,1336,1340,4,4,0,0,"1300-1359",0,0,172,150,126,1,867,4,NA,NA,NA,NA,NA,1150,16,16,0,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,"","",NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018,1,1,23,2,"2018-01-23","UA",19977,"UA","N69885",1425,10721,1072102,30721,"BOS","Boston, MA","MA",25,"Massachusetts",13,11618,1161802,31703,"EWR","Newark, NJ","NJ",34,"New Jersey",21,1530,1705,95,95,1,6,"1500-1559",41,1746,1843,8,1707,1851,104,104,1,6,"1700-1759",0,0,97,106,57,1,200,1,0,0,104,0,0,NA,NA,NA,0,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,"","",NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018,1,1,23,2,"2018-01-23","UA",19977,"UA","N587UA",477,10721,1072102,30721,"BOS","Boston, MA","MA",25,"Massachusetts",13,14771,1477104,32457,"SFO","San Francisco, CA","CA",6,"California",91,1205,1235,30,30,1,2,"1200-1259",20,1255,1543,3,1534,1546,12,12,0,0,"1500-1559",0,0,389,371,348,1,2704,11,NA,NA,NA,NA,NA,1204,10,10,0,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,"","",NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
